"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday","year","week","year_week"
4,"The Simpsons","USA","636897","20th Century Fox",-59,5,502,1268,35764514,"2007-08-26",2007,34,"2007-34"
5,"Harry Potter and the Order of the Phoenix","UK/USA","459907","Warner",-51,7,367,1253,47519997,"2007-08-26",2007,34,"2007-34"
6,"Transformers","USA","458549","Paramount",-52,5,385,1191,21555934,"2007-08-26",2007,34,"2007-34"
7,"Bratz: The Movie","USA","415153","Momentum",-67,2,385,1078,2561267,"2007-08-26",2007,34,"2007-34"
8,"Surf's Up","USA","256642","Sony",-57,3,407,630,3088866,"2007-08-26",2007,34,"2007-34"
9,"Hairspray","USA","254002","Entertainment",-50,6,330,769,11679308,"2007-08-26",2007,34,"2007-34"
11,"Evan Almighty","USA","211701","Universal",-58,4,323,655,5206054,"2007-08-26",2007,34,"2007-34"
12,"Shrek the Third","USA","67402","Paramount",-61,9,249,270,38079462,"2007-08-26",2007,34,"2007-34"
14,"License to Wed","USA","40988","Warner",-73,3,113,362,895745,"2007-08-26",2007,34,"2007-34"
15,"Chak De India","Ind","29520","Yash Raj",-64,3,30,984,377496,"2007-08-26",2007,34,"2007-34"
20,"The Walker","UK/USA","14669","Pathé",-58,3,18,814,160409,"2007-08-26",2007,34,"2007-34"
22,"La Vie En Rose","Fra/UK/Cze","9229","Icon",-24,10,21,439,1390329,"2007-08-26",2007,34,"2007-34"
42,"Sparkle","UK","1530","Vertigo",-83,2,3,510,16381,"2007-08-26",2007,34,"2007-34"
43,"I is for India","UK","1492","ICA Projects",-37,4,1,1492,16940,"2007-08-26",2007,34,"2007-34"
45,"The Flying Scotsman","UK/Ger","1433","Verve Pictures",11,9,7,204,179432,"2007-08-26",2007,34,"2007-34"
1,"The Bourne Ultimatum","USA/UK","2232971","Universal",-22,3,468,4771,17744164,"2007-09-02",2007,35,"2007-35"
2,"Knocked Up","USA","1424255","Universal",-10,2,424,3359,4745623,"2007-09-02",2007,35,"2007-35"
4,"The Simpsons","USA","621506","20th Century Fox",-2,6,457,1359,37222096,"2007-09-02",2007,35,"2007-35"
5,"Rush Hour 3","USA","561367","Entertainment",-28,4,368,1525,9541221,"2007-09-02",2007,35,"2007-35"
7,"Harry Potter and the Order of the Phoenix","UK/USA","394589","Warner",-14,8,306,1289,48505392,"2007-09-02",2007,35,"2007-35"
8,"Transformers","USA","323274","Paramount",-30,6,312,1036,22417810,"2007-09-02",2007,35,"2007-35"
9,"Bratz: The Movie","USA","322778","Momentum",-22,3,390,827,3383589,"2007-09-02",2007,35,"2007-35"
11,"Surf's Up","USA","248150","Sony",-3,4,394,629,3713789,"2007-09-02",2007,35,"2007-35"
13,"Hairspray","USA","151348","Entertainment",-40,7,198,764,12162153,"2007-09-02",2007,35,"2007-35"
15,"Heyy Baby","Ind","129379","Eros",-43,2,45,2875,536612,"2007-09-02",2007,35,"2007-35"
20,"Lady Chatterley","Bel/Fra/UK","38485","Artificial Eye",-21,2,35,1099,144247,"2007-09-02",2007,35,"2007-35"
24,"La Vie En Rose","Fra/UK/Cze","7280","Icon",-21,11,11,661,1419292,"2007-09-02",2007,35,"2007-35"
26,"The Walker","UK/USA","6190","Pathé",-58,4,14,442,181955,"2007-09-02",2007,35,"2007-35"
39,"Flood","UK/USA","2300","Lions Gate",-8,2,1,2300,7441,"2007-09-02",2007,35,"2007-35"
41,"I is for India","UK","1975","ICA Projects",32,5,1,1975,20236,"2007-09-02",2007,35,"2007-35"
42,"Sparkle","UK","1530","Vertigo",-83,2,3,510,16381,"2007-09-02",2007,35,"2007-35"
44,"Sugarhouse","UK","1306","Sling Shot",-93,2,8,163,36592,"2007-09-02",2007,35,"2007-35"
46,"The Flying Scotsman","UK/Ger","1234","Verve Pictures",-14,10,4,308,183154,"2007-09-02",2007,35,"2007-35"
55,"The War on Democracy","UK/Aus","419","Lions Gate",255,12,2,209,52336,"2007-09-02",2007,35,"2007-35"
3,"The Bourne Ultimatum","USA/UK","1091082","Universal",-51,4,457,2387,20064024,"2007-09-09",2007,36,"2007-36"
4,"Knocked Up","USA","756339","Universal",-47,3,408,1853,6453395,"2007-09-09",2007,36,"2007-36"
5,"1408","USA","550538","Paramount",-49,2,398,1383,2306680,"2007-09-09",2007,36,"2007-36"
6,"The Simpsons","USA","256737","20th Century Fox",-59,7,429,598,37783651,"2007-09-09",2007,36,"2007-36"
7,"Rush Hour 3","USA","242054","Entertainment",-57,5,279,867,10084884,"2007-09-09",2007,36,"2007-36"
8,"Harry Potter and the Order of the Phoenix","UK/USA","163241","Warner",-59,9,271,602,48966323,"2007-09-09",2007,36,"2007-36"
9,"Bratz: The Movie","USA","161940","Momentum",-50,4,371,436,3672769,"2007-09-09",2007,36,"2007-36"
10,"Transformers","USA","137230","Paramount",-58,7,227,604,22731690,"2007-09-09",2007,36,"2007-36"
11,"No Reservations","USA/Aus","127325","Warner",-75,2,321,396,925558,"2007-09-09",2007,36,"2007-36"
12,"Surf's Up","USA","111937","Sony",-55,5,373,300,3937639,"2007-09-09",2007,36,"2007-36"
15,"Two Days in Paradise","Fra/Ger","78108","The Works",-29,2,37,2111,258651,"2007-09-09",2007,36,"2007-36"
19,"Hallam Foe","UK","45837","Disney",-66,2,90,509,278436,"2007-09-09",2007,36,"2007-36"
25,"La Vie En Rose","Fra/UK/Cze","8967","Icon",23,12,12,747,1445592,"2007-09-09",2007,36,"2007-36"
26,"Lady Chatterley","Bel/Fra/UK","6808","Artificial Eye",-82,3,11,618,177510,"2007-09-09",2007,36,"2007-36"
36,"The Walker","UK/USA","1784","Pathé",-71,5,8,223,188032,"2007-09-09",2007,36,"2007-36"
44,"Flood","UK/USA","896","Lions Gate",-61,3,1,896,9550,"2007-09-09",2007,36,"2007-36"
47,"The Dam Busters (RE)","UK","586","Optimum",-98,2,2,293,33100,"2007-09-09",2007,36,"2007-36"
48,"The Flying Scotsman","UK/Ger","477","Verve Pictures",-61,11,2,238,186934,"2007-09-09",2007,36,"2007-36"
62,"The War on Democracy","UK/Aus","20","Lions Gate",-95,13,1,20,52808,"2007-09-09",2007,36,"2007-36"
62,"I is for India","UK","20","ICA Projects",-99,6,1,20,22401,"2007-09-09",2007,36,"2007-36"
1,"Run, Fat Boy, Run","UK/USA","1543836","Entertainment",-23,2,411,3756,4508661,"2007-09-16",2007,37,"2007-37"
3,"Atonement","UK","1379790","Universal",-16,2,412,3349,4425940,"2007-09-16",2007,37,"2007-37"
4,"The Bourne Ultimatum","USA/UK","744851","Universal",-32,5,382,1949,21439515,"2007-09-16",2007,37,"2007-37"
6,"Knocked Up","USA","461336","Universal",-39,4,332,1389,7405171,"2007-09-16",2007,37,"2007-37"
9,"1408","USA","244472","Paramount",-56,3,275,888,2878870,"2007-09-16",2007,37,"2007-37"
10,"The Simpsons","USA","174758","20th Century Fox",-32,8,382,457,38026015,"2007-09-16",2007,37,"2007-37"
11,"Bratz: The Movie","USA/Aus","117149","Momentum",-28,5,332,352,3805275,"2007-09-16",2007,37,"2007-37"
12,"Harry Potter and the Order of the Phoenix","UK/USA","102468","Warner Bros.",-37,10,192,533,49136969,"2007-09-16",2007,37,"2007-37"
13,"Rush Hour 3","USA","94076","Entertainment",-61,6,151,623,10295689,"2007-09-16",2007,37,"2007-37"
14,"Surf's Up","USA","94023","Sony",-16,6,306,307,4043275,"2007-09-16",2007,37,"2007-37"
15,"Transformers","USA","67445","Paramount",-51,8,133,507,22863864,"2007-09-16",2007,37,"2007-37"
24,"Hallam Foe","UK","16016","Disney",-65,3,21,762,337431,"2007-09-16",2007,37,"2007-37"
27,"Rise of the Footsoldier","UK","11925","Optimum",-86,2,58,205,159700,"2007-09-16",2007,37,"2007-37"
30,"Lady Chatterley","Bel/Fra/UK","6499","Artificial Eye",-5,4,11,590,193331,"2007-09-16",2007,37,"2007-37"
36,"La Vie En Rose","Fra/UK/Cze","3137","Icon",-65,13,8,392,1467224,"2007-09-16",2007,37,"2007-37"
47,"The Walker","UK/USA","1337","Pathé",-25,6,6,222,191487,"2007-09-16",2007,37,"2007-37"
48,"Sparkle","UK","1174","Vertigo",997,5,4,293,19831,"2007-09-16",2007,37,"2007-37"
54,"Withnail & I (re)","UK","863","Park Circus",-97,2,3,287,33556,"2007-09-16",2007,37,"2007-37"
58,"Flood","UK/USA","519","Lions Gate",-42,4,1,519,10891,"2007-09-16",2007,37,"2007-37"
59,"The War on Democracy","UK/Aus","397","Lions Gate",1885,14,2,198,53547,"2007-09-16",2007,37,"2007-37"
66,"Small Engine Repair","UK/Ire","98","Guerilla",-93,9,1,98,19573,"2007-09-16",2007,37,"2007-37"
2,"Atonement","UK","1162880","Universal",-16,3,424,2742,6732204,"2007-09-23",2007,38,"2007-38"
4,"Superbad","USA","1063640","Sony Pictures",-28,2,402,2645,3404014,"2007-09-23",2007,38,"2007-38"
5,"The Bourne Ultimatum","USA/UK","562099","Universal",-25,6,318,1767,22415939,"2007-09-23",2007,38,"2007-38"
7,"Disturbia","USA","338232","Paramount",-54,2,373,906,1385642,"2007-09-23",2007,38,"2007-38"
8,"Knocked Up","USA","256990","Universal",-44,5,259,992,7923761,"2007-09-23",2007,38,"2007-38"
9,"3:10 To Yuma","USA","207684","Lions Gate",-44,2,281,739,866670,"2007-09-23",2007,38,"2007-38"
10,"Shoot 'Em Up","USA","172744","Entertainment",-54,2,274,630,789748,"2007-09-23",2007,38,"2007-38"
12,"The Simpsons","USA","135506","20th Century Fox",-23,9,349,388,38186092,"2007-09-23",2007,38,"2007-38"
13,"1408","USA","108909","Paramount",-56,4,155,702,3120111,"2007-09-23",2007,38,"2007-38"
14,"Surf's Up","USA","94038","Sony",0,7,280,335,4146249,"2007-09-23",2007,38,"2007-38"
15,"Bratz: The Movie","USA/Aus","79690","Momentum",-32,6,295,270,3892409,"2007-09-23",2007,38,"2007-38"
17,"Harry Potter and the Order of the Phoenix","UK/USA","63579","Warner Bros",-38,11,167,380,49233578,"2007-09-23",2007,38,"2007-38"
27,"Hallam Foe","UK","10612","Disney",-34,4,17,624,361336,"2007-09-23",2007,38,"2007-38"
34,"Lady Chatterley","Bel/Fra/UK","5088","Artificial Eye",-22,5,9,565,204146,"2007-09-23",2007,38,"2007-38"
36,"La Vie En Rose","Fra/UK/Cze","4614","Icon",47,14,6,769,1486417,"2007-09-23",2007,38,"2007-38"
39,"Rise of the Footsoldier","UK","2448","Optimum",-80,3,5,489,168590,"2007-09-23",2007,38,"2007-38"
40,"In the Hands of the Gods","UK","2316","Lions Gate",-83,2,11,210,29681,"2007-09-23",2007,38,"2007-38"
48,"Sparkle","UK","1093","Vertigo",-7,6,5,218,21784,"2007-09-23",2007,38,"2007-38"
52,"The Walker","UK/USA","905","Pathé",-32,7,3,301,193895,"2007-09-23",2007,38,"2007-38"
2,"Atonement","UK","866625","Universal",-26,4,413,2098,8511001,"2007-09-30",2007,39,"2007-39"
3,"I Now Pronounce You Chuck and Larry","USA","823592","Universal",-25,2,406,2028,2457240,"2007-09-30",2007,39,"2007-39"
4,"Superbad","USA","758045","Sony Pictures",-29,3,358,2117,4763529,"2007-09-30",2007,39,"2007-39"
9,"The Bourne Ultimatum","USA/UK","356441","Universal",-37,7,233,1529,23073976,"2007-09-30",2007,39,"2007-39"
11,"The Simpsons","USA","108616","20th Century Fox",-20,10,316,343,38312694,"2007-09-30",2007,39,"2007-39"
12,"Disturbia","USA","100190","Paramount",-70,3,170,589,1670870,"2007-09-30",2007,39,"2007-39"
13,"Surf's Up","USA","99670","Sony Pictures",6,8,279,357,4256232,"2007-09-30",2007,39,"2007-39"
14,"Knocked Up","USA","88606","Universal",-66,6,112,791,8165211,"2007-09-30",2007,39,"2007-39"
15,"Death Proof","USA","79277","Momentum",-81,2,172,460,707262,"2007-09-30",2007,39,"2007-39"
20,"Harry Potter and the Order of the Phoenix","UK/USA","51211","Warner Bros",-20,12,139,368,49303118,"2007-09-30",2007,39,"2007-39"
39,"Lady Chatterley","Bel/Fra/UK","4354","Artificial Eye",-14,6,9,483,214115,"2007-09-30",2007,39,"2007-39"
41,"La Vie En Rose","Fra/UK/Cze","3097","Icon",-33,15,11,281,1501236,"2007-09-30",2007,39,"2007-39"
46,"As You Like It","UK/USA","2351","Lions Gate",-75,2,7,335,15115,"2007-09-30",2007,39,"2007-39"
52,"The Walker","UK/USA","996","Pathé",10,8,3,332,196230,"2007-09-30",2007,39,"2007-39"
53,"Rise of the Footsoldier","UK","988","Optimum",-60,4,1,988,170397,"2007-09-30",2007,39,"2007-39"
57,"In the Hands of the Gods","UK","517","Lions Gate",-78,3,9,57,31646,"2007-09-30",2007,39,"2007-39"
58,"Sparkle","UK","455","Vertigo",-58,7,1,455,23497,"2007-09-30",2007,39,"2007-39"
3,"Run, Fat Boy, Run","UK/USA","724183","Entertainment",-27,5,363,1994,8882318,"2007-10-07",2007,40,"2007-40"
4,"Atonement","UK","560252","Universal",-35,5,398,1407,9693480,"2007-10-07",2007,40,"2007-40"
5,"I Now Pronounce You Chuck and Larry","USA","509036","Universal",-38,3,369,1379,3315799,"2007-10-07",2007,40,"2007-40"
6,"Superbad","USA","471502","Sony Pictures",-38,4,317,1487,5600966,"2007-10-07",2007,40,"2007-40"
7,"Mr Woodcock","USA","348339","Entertainment",-28,2,241,1445,1031569,"2007-10-07",2007,40,"2007-40"
8,"Halloween","USA","341861","Paramount",-45,2,339,1008,1331259,"2007-10-07",2007,40,"2007-40"
9,"Michael Clayton","USA","323874","Pathé",-46,2,272,1190,1273849,"2007-10-07",2007,40,"2007-40"
11,"The Bourne Ultimatum","USA/UK","193700","Universal",-46,8,169,1146,23427403,"2007-10-07",2007,40,"2007-40"
12,"The Brave One","USA/Aus","181977","Warner Bros.",-63,2,336,541,972616,"2007-10-07",2007,40,"2007-40"
15,"Surf's Up","USA","92388","Sony Pictures",-7,9,283,326,4356423,"2007-10-07",2007,40,"2007-40"
20,"Harry Potter and the Order of the Phoenix","UK/USA","35175","Warner Bros",-31,13,121,290,49344449,"2007-10-07",2007,40,"2007-40"
43,"Hallam Foe","UK","3424","Walt Disney",-13,6,5,684,382464,"2007-10-07",2007,40,"2007-40"
45,"La Vie En Rose","Fra/UK/Cze","3019","Icon",-3,16,9,335,1515367,"2007-10-07",2007,40,"2007-40"
48,"Mrs Ratcliffe's Revolution","UK/Hun","1649","Warner Bros",-89,2,16,103,28672,"2007-10-07",2007,40,"2007-40"
58,"As You Like It","UK/USA","907","Lions Gate",-61,3,3,302,18054,"2007-10-07",2007,40,"2007-40"
60,"Sparkle","UK","810","Vertigo",78,8,1,810,24624,"2007-10-07",2007,40,"2007-40"
3,"The Heartbreak Kid","USA","856501","Paramount",-31,2,409,2094,2779053,"2007-10-14",2007,41,"2007-41"
4,"The Kingdom","USA","513579","Universal",-44,2,393,1306,1931299,"2007-10-14",2007,41,"2007-41"
5,"Run, Fat Boy, Run","UK/USA","470891","Entertainment",-35,6,333,1414,9620627,"2007-10-14",2007,41,"2007-41"
6,"Atonement","UK","311179","Universal",-45,6,268,1161,10483072,"2007-10-14",2007,41,"2007-41"
11,"I Now Pronounce You Chuck and Larry","USA","226605","Universal",-56,4,277,818,3752731,"2007-10-14",2007,41,"2007-41"
12,"Superbad","USA","213897","Sony Pictures",-55,5,230,929,6064632,"2007-10-14",2007,41,"2007-41"
14,"Control","UK/USA","163906","Momentum",-35,2,82,1998,596145,"2007-10-14",2007,41,"2007-41"
15,"Mr. Woodcock","USA","157255","Entertainment",-55,3,194,810,1324206,"2007-10-14",2007,41,"2007-41"
20,"The Bourne Ultimatum","UK/USA","56900","Universal",-71,9,66,862,23586781,"2007-10-14",2007,41,"2007-41"
21,"And When Did You Last See Your Father?","UK/Ire","45852","Walt Disney",-66,2,69,664,310616,"2007-10-14",2007,41,"2007-41"
28,"Harry Potter and the Order of the Phoenix","UK/USA","35175","Warner Bros",-31,13,121,290,49344449,"2007-10-14",2007,41,"2007-41"
42,"As You Like It","UK/USA","3228","Lions Gate",256,4,6,538,22854,"2007-10-14",2007,41,"2007-41"
49,"La Vie En Rose","Fra/UK/Cze","2297","Icon",-24,17,8,287,1526247,"2007-10-14",2007,41,"2007-41"
51,"Hallam Foe","UK","2166","Walt Disney",-37,7,5,433,386655,"2007-10-14",2007,41,"2007-41"
62,"Seachd: The Inaccessible Pinnacle","UK","581","Soda",-80,2,2,290,9813,"2007-10-14",2007,41,"2007-41"
63,"Mrs Ratcliffe's Revolution","UK/Hun","571","Warner Bros",-65,3,4,142,30753,"2007-10-14",2007,41,"2007-41"
1,"Ratatouille","USA","3056938","Walt Disney",-31,2,535,5713,8982963,"2007-10-21",2007,42,"2007-42"
4,"The Heartbreak Kid","USA","458346","Paramount",-47,3,346,1324,3675895,"2007-10-21",2007,42,"2007-42"
5,"Resident Evil 3","USA/Fra/Aus/Ger/UK","429935","Sony Pictures",-54,2,311,1382,1782264,"2007-10-21",2007,42,"2007-42"
6,"Run, Fat Boy, Run","UK/USA","223462","Entertainment",-53,7,263,849,10023833,"2007-10-21",2007,42,"2007-42"
8,"The Kingdom","USA","210219","Universal",-59,3,225,934,2442683,"2007-10-21",2007,42,"2007-42"
9,"Atonement","UK","136982","Universal",-56,7,146,938,10880442,"2007-10-21",2007,42,"2007-42"
12,"Black Sheep","NZ","123618","Icon",-50,2,168,735,534415,"2007-10-21",2007,42,"2007-42"
13,"Laaga Chunari Mein Daag","Ind","118566","Yash Raj",-52,2,44,2694,475676,"2007-10-21",2007,42,"2007-42"
14,"Bhool Bhulaiya","Ind","106905","Eros",-64,2,45,2375,513893,"2007-10-21",2007,42,"2007-42"
15,"Superbad","USA","104118","Sony Pictures",-55,6,136,765,6292890,"2007-10-21",2007,42,"2007-42"
16,"Control","UK/USA","90417","Momentum",-45,3,71,1273,816970,"2007-10-21",2007,42,"2007-42"
31,"The Bourne Ultimatum","UK/USA","16244","Universal",-72,10,27,601,23635376,"2007-10-21",2007,42,"2007-42"
34,"Harry Potter and the Order of the Phoenix","UK/USA","10323","Warner Bros",-37,15,33,312,49389583,"2007-10-21",2007,42,"2007-42"
39,"And When Did You Last See Your Father?","UK/Ire","5922","Walt Disney",-87,3,12,493,358167,"2007-10-21",2007,42,"2007-42"
41,"La Vie En Rose","Fra/UK/Cze","4976","Icon",117,18,4,1244,1541454,"2007-10-21",2007,42,"2007-42"
46,"Hallam Foe","UK","2062","Walt Disney",-5,8,4,515,390752,"2007-10-21",2007,42,"2007-42"
49,"Mrs Ratcliffe's Revolution","UK/Hun","1567","Warner Bros",174,4,3,522,32819,"2007-10-21",2007,42,"2007-42"
52,"As You Like It","UK/USA","1290","Lions Gate",-60,5,6,215,29174,"2007-10-21",2007,42,"2007-42"
1,"Ratatouille","USA","3589762","Walt Disney",19,3,525,6837,17287593,"2007-10-28",2007,43,"2007-43"
3,"Stardust","UK/USA","2332502","Paramount",4,2,454,5137,6925174,"2007-10-28",2007,43,"2007-43"
5,"Rendition","USA/SA","546292","Entertainment",-6,2,320,1707,1642072,"2007-10-28",2007,43,"2007-43"
6,"The Heartbreak Kid","USA","344921","Paramount",-25,4,307,1123,4375595,"2007-10-28",2007,43,"2007-43"
7,"Resident Evil 3","USA/Fra/Aus/Ger/UK","251223","Sony Pictures",-42,3,291,863,2372046,"2007-10-28",2007,43,"2007-43"
8,"Run, Fat Boy, Run","UK/USA","224368","Entertainment",0,8,190,1180,10586390,"2007-10-28",2007,43,"2007-43"
9,"Dark is Rising","USA","165847","20th Century Fox",-23,2,372,445,660006,"2007-10-28",2007,43,"2007-43"
12,"Nancy Drew","USA","146263","Warner Bros",8,2,298,490,516759,"2007-10-28",2007,43,"2007-43"
13,"Atonement","UK","119858","Universal",-13,8,91,1317,11187379,"2007-10-28",2007,43,"2007-43"
14,"The Kingdom","USA","118747","Universal",-44,4,126,942,2718644,"2007-10-28",2007,43,"2007-43"
15,"The Last Legion","UK/USA/Fra/Slovak/Ita","80724","Momentum",-36,2,200,403,335838,"2007-10-28",2007,43,"2007-43"
20,"Control","UK/USA","59452","Momentum",-34,4,60,990,965341,"2007-10-28",2007,43,"2007-43"
35,"Harry Potter and the Order of the Phoenix","UK/USA","12558","Warner Bros",22,16,24,523,49420484,"2007-10-28",2007,43,"2007-43"
38,"The Bourne Ultimatum","UK/USA","10238","Universal",-37,11,11,930,23660504,"2007-10-28",2007,43,"2007-43"
39,"And When Did You Last See Your Father?","UK/Ire","9292","Walt Disney",57,4,20,464,380542,"2007-10-28",2007,43,"2007-43"
48,"As You Like It","UK/USA","2598","Lions Gate",101,6,10,259,36440,"2007-10-28",2007,43,"2007-43"
55,"La Vie En Rose","Fra/UK/Cze","1324","Icon",-73,19,2,662,1548522,"2007-10-28",2007,43,"2007-43"
59,"Hallam Foe","UK","864","Walt Disney",-58,9,2,432,394041,"2007-10-28",2007,43,"2007-43"
1,"Ratatouille","USA","1551332","Walt Disney",-57,4,498,3115,20225298,"2007-11-04",2007,44,"2007-44"
3,"Stardust","UK/USA","1417085","Paramount",-39,3,448,3163,9502123,"2007-11-04",2007,44,"2007-44"
5,"Saw IV","USA","988489","Lions Gate",-60,2,389,2541,4849988,"2007-11-04",2007,44,"2007-44"
6,"Eastern Promises","UK/Can","382078","Pathé",-39,2,269,1420,1406237,"2007-11-04",2007,44,"2007-44"
8,"Rendition","USA/SA","266709","Entertainment",-51,3,259,1029,2201137,"2007-11-04",2007,44,"2007-44"
9,"The Heartbreak Kid","USA","144270","Paramount",-58,5,211,683,4691810,"2007-11-04",2007,44,"2007-44"
10,"Run, Fat Boy, Run","UK/USA","100861","Entertainment",-55,9,138,730,10778239,"2007-11-04",2007,44,"2007-44"
11,"Jab We Met","Ind","95196","Studio18",-39,2,32,2974,325996,"2007-11-04",2007,44,"2007-44"
12,"Nancy Drew","USA","80104","Warner Bros",-45,3,248,323,676029,"2007-11-04",2007,44,"2007-44"
13,"Atonement","UK","62511","Universal",-48,9,77,811,11350993,"2007-11-04",2007,44,"2007-44"
14,"Dark is Rising","USA","57443","20th Century Fox",-65,3,275,208,788769,"2007-11-04",2007,44,"2007-44"
15,"Resident Evil 3","USA/Fra/Aus/Ger/UK","56131","Sony Pictures",-78,4,158,355,2564723,"2007-11-04",2007,44,"2007-44"
24,"Control","UK/USA","31369","Momentum",-47,5,45,697,1045634,"2007-11-04",2007,44,"2007-44"
32,"The Last Legion","UK/USA/Fra/Slovak/Ita","18052","Momentum",-78,3,104,173,398623,"2007-11-04",2007,44,"2007-44"
42,"And When Did You Last See Your Father?","UK/Ire","7220","Walt Disney",-22,5,26,277,403962,"2007-11-04",2007,44,"2007-44"
44,"The Bourne Ultimatum","UK/USA","5854","Universal",-43,12,5,1170,23674414,"2007-11-04",2007,44,"2007-44"
54,"Lady Chatterley","Bel/Fra/UK","1995","Artificial Eye",-13,11,4,498,232562,"2007-11-04",2007,44,"2007-44"
59,"Harry Potter and the Order of the Phoenix","UK/USA","1407","Warner Bros",-89,17,5,281,49422499,"2007-11-04",2007,44,"2007-44"
63,"As You Like It","UK/USA","910","Lions Gate",-65,7,5,182,40622,"2007-11-04",2007,44,"2007-44"
73,"La Vie En Rose","Fra/UK/Cze","82","Icon",-94,20,2,41,1554264,"2007-11-04",2007,44,"2007-44"
2,"Stardust","UK/USA","1278506","Paramount",-10,4,459,2785,11341221,"2007-11-11",2007,45,"2007-45"
3,"Ratatouille","USA","1249546","Walt Disney",-20,5,495,2524,21826981,"2007-11-11",2007,45,"2007-45"
4,"Elizabeth: The Golden Age","UK","929536","Universal",-31,2,453,2051,3137766,"2007-11-11",2007,45,"2007-45"
5,"30 Days of Night","USA/NZ","849180","Icon",-45,2,385,2205,3003644,"2007-11-11",2007,45,"2007-45"
8,"Saw IV","USA","466928","Lions Gate",-53,3,339,1377,5802169,"2007-11-11",2007,45,"2007-45"
